Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EmployeeId,EngagementScore,ExperienceBeforeJob,Gender,GenerationGroup,HomeDistanceLabel,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerfSatIndex,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Travel_Frequently,1444,Human Resources,S2,Other,1,Better,Junior,Male,Millennials,Short Distance,88,Entry Level,Human Resources,Married,2991,5224,0,Yes,11,Medium,1,2,2,1,2
1,Travel_Rarely,1141,Research & Development,Diploma,Medical,2,Bad,Senior,Female,Millennials,Medium Distance,61,Asisten Supervisor,Healthcare Representative,Married,4777,14382,5,No,15,Low,0,2,0,0,0
1,Travel_Rarely,1323,Research & Development,S2,Life Sciences,3,Better,Mid-level,Male,Gen X,Short Distance,34,Entry Level,Research Scientist,Married,2461,10332,9,Yes,12,Medium,3,2,0,2,7
0,Travel_Frequently,555,Sales,S1,Marketing,4,Better,Junior,Female,Gen Y,Long Distance,77,Asisten Manager,Sales Executive,Married,13525,14864,5,No,14,High,1,2,4,4,8
0,Travel_Rarely,1194,Research & Development,S2,Medical,5,Better,Senior,Female,Millennials,Short Distance,98,Entry Level,Research Scientist,Married,2001,12549,2,No,14,Medium,3,2,3,0,2
0,Travel_Rarely,352,Human Resources,Non-Degree,Medical,6,Good,Junior,Male,Gen Z,Short Distance,87,Entry Level,Human Resources,Married,2804,15434,1,No,11,High,0,3,0,0,0
0,Travel_Rarely,1124,Sales,Diploma,Medical,7,Good,Junior,Male,Millennials,Short Distance,57,Asisten Supervisor,Sales Executive,Married,7457,13273,2,Yes,22,High,3,2,3,0,2
1,Travel_Rarely,725,Research & Development,S1,Medical,8,Better,Senior,Male,Gen X,Short Distance,78,Manager,Manager,Married,19859,21199,5,Yes,13,High,1,2,2,1,4
0,Travel_Frequently,635,Research & Development,Non-Degree,Medical,9,Better,Junior,Female,Millennials,Medium Distance,73,Entry Level,Laboratory Technician,Single,2153,7703,1,No,13,Medium,0,2,1,1,7
0,Travel_Rarely,1018,Research & Development,Diploma,Life Sciences,10,Better,Junior,Female,Millennials,Short Distance,39,Supervisor,Research Director,Single,11159,19373,3,No,15,High,0,6,7,7,7
0,Travel_Rarely,583,Sales,Non-Degree,Marketing,11,Better,Junior,Male,Gen Z,Short Distance,87,Asisten Supervisor,Sales Executive,Married,4256,18154,1,No,12,Low,0,1,2,0,3
1,Travel_Rarely,129,Research & Development,S1,Technical Degree,12,Better,Junior,Male,Gen Z,Short Distance,84,Entry Level,Laboratory Technician,Single,2973,13008,1,No,19,Low,0,2,0,0,0
0,Travel_Rarely,571,Sales,S1,Medical,13,Good,Mid-level,Female,Gen Y,Medium Distance,78,Asisten Supervisor,Sales Executive,Married,4591,24200,3,Yes,17,High,1,4,4,1,2
